country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,year
United States,US,2023-12-31,Films,1,Rebel Moon — Part One: A Child of Fire,,2,2023
United States,US,2023-12-31,Films,2,The Super Mario Bros. Movie,,5,2023
United States,US,2023-12-31,Films,3,Sniper: Ultimate Kill,,1,2023
United States,US,2023-12-31,Films,4,Sniper: Assassin's End,,1,2023
United States,US,2023-12-31,Films,5,Meg 2: The Trench,,1,2023
United States,US,2023-12-31,Films,6,Leave the World Behind,,4,2023
United States,US,2023-12-31,Films,7,Hell Camp: Teen Nightmare,,1,2023
United States,US,2023-12-31,Films,8,Gran Turismo: Based on a True Story,,3,2023
United States,US,2023-12-31,Films,9,Leo,,6,2023
United States,US,2023-12-31,Films,10,Family Switch,,5,2023
United States,US,2023-12-31,TV,1,Ricky Gervais: Armageddon,,1,2023
United States,US,2023-12-31,TV,2,The Manny,,1,2023
United States,US,2023-12-31,TV,3,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,4,2023
United States,US,2023-12-31,TV,4,Dave Chappelle: The Dreamer,,1,2023
United States,US,2023-12-31,TV,5,Young Sheldon,Young Sheldon: Season 1,6,2023
United States,US,2023-12-31,TV,6,The Crown,The Crown: Season 6,6,2023
United States,US,2023-12-31,TV,7,Berlin,Berlin: Season 1,1,2023
United States,US,2023-12-31,TV,8,School Spirits,School Spirits: Season 1,4,2023
United States,US,2023-12-31,TV,9,Trevor Noah: Where Was I,,2,2023
United States,US,2023-12-31,TV,10,Bebefinn Playtime,,1,2023
United States,US,2023-12-24,Films,1,Rebel Moon — Part One: A Child of Fire,,1,2023
United States,US,2023-12-24,Films,2,The Super Mario Bros. Movie,,4,2023
United States,US,2023-12-24,Films,3,Leave the World Behind,,3,2023
United States,US,2023-12-24,Films,4,Gran Turismo: Based on a True Story,,2,2023
United States,US,2023-12-24,Films,5,Holiday in the Vineyards,,2,2023
United States,US,2023-12-24,Films,6,Chicken Run: Dawn of the Nugget,,2,2023
United States,US,2023-12-24,Films,7,Family Switch,,4,2023
United States,US,2023-12-24,Films,8,Neighbors,,1,2023
United States,US,2023-12-24,Films,9,Leo,,5,2023
United States,US,2023-12-24,Films,10,The Christmas Chronicles,,5,2023
United States,US,2023-12-24,TV,1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,3,2023
United States,US,2023-12-24,TV,2,Trevor Noah: Where Was I,,1,2023
United States,US,2023-12-24,TV,3,The Crown,The Crown: Season 6,5,2023
United States,US,2023-12-24,TV,4,School Spirits,School Spirits: Season 1,3,2023
United States,US,2023-12-24,TV,5,Young Sheldon,Young Sheldon: Season 1,5,2023
United States,US,2023-12-24,TV,6,Yu Yu Hakusho,Yu Yu Hakusho: Season 1,2,2023
United States,US,2023-12-24,TV,7,Car Masters: Rust to Riches,Car Masters: Rust to Riches: Season 5,2,2023
United States,US,2023-12-24,TV,8,Obliterated,Obliterated: Season 1,4,2023
United States,US,2023-12-24,TV,9,World War II: From the Frontlines,World War II: From the Frontlines: Season 1,3,2023
United States,US,2023-12-24,TV,10,Young Sheldon,Young Sheldon: Season 2,3,2023
United States,US,2023-12-17,Films,1,Leave the World Behind,,2,2023
United States,US,2023-12-17,Films,2,The Super Mario Bros. Movie,,3,2023
United States,US,2023-12-17,Films,3,Love and Monsters,,1,2023
United States,US,2023-12-17,Films,4,Gran Turismo: Based on a True Story,,1,2023
United States,US,2023-12-17,Films,5,Family Switch,,3,2023
United States,US,2023-12-17,Films,6,Leo,,4,2023
United States,US,2023-12-17,Films,7,The Adventures of Sharkboy and Lavagirl,,2,2023
United States,US,2023-12-17,Films,8,Holiday in the Vineyards,,1,2023
United States,US,2023-12-17,Films,9,Suicide Squad,,2,2023
United States,US,2023-12-17,Films,10,Chicken Run: Dawn of the Nugget,,1,2023
United States,US,2023-12-17,TV,1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,2,2023
United States,US,2023-12-17,TV,2,The Crown,The Crown: Season 6,4,2023
United States,US,2023-12-17,TV,3,World War II: From the Frontlines,World War II: From the Frontlines: Season 1,2,2023
United States,US,2023-12-17,TV,4,School Spirits,School Spirits: Season 1,2,2023
United States,US,2023-12-17,TV,5,Yu Yu Hakusho,Yu Yu Hakusho: Season 1,1,2023
United States,US,2023-12-17,TV,6,Obliterated,Obliterated: Season 1,3,2023
United States,US,2023-12-17,TV,7,Young Sheldon,Young Sheldon: Season 1,4,2023
United States,US,2023-12-17,TV,8,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,3,2023
United States,US,2023-12-17,TV,9,Car Masters: Rust to Riches,Car Masters: Rust to Riches: Season 5,1,2023
United States,US,2023-12-17,TV,10,CoComelon Lane,CoComelon Lane: Season 1,5,2023
United States,US,2023-12-10,Films,1,Leave the World Behind,,1,2023
United States,US,2023-12-10,Films,2,The Super Mario Bros. Movie,,2,2023
United States,US,2023-12-10,Films,3,Family Switch,,2,2023
United States,US,2023-12-10,Films,4,Leo,,3,2023
United States,US,2023-12-10,Films,5,Suicide Squad,,1,2023
United States,US,2023-12-10,Films,6,Lucy,,2,2023
United States,US,2023-12-10,Films,7,Hunter Killer,,2,2023
United States,US,2023-12-10,Films,8,Black Adam,,1,2023
United States,US,2023-12-10,Films,9,DC League of Super-Pets,,1,2023
United States,US,2023-12-10,Films,10,The Adventures of Sharkboy and Lavagirl,,1,2023
United States,US,2023-12-10,TV,1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,1,2023
United States,US,2023-12-10,TV,2,Obliterated,Obliterated: Season 1,2,2023
United States,US,2023-12-10,TV,3,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,2,2023
United States,US,2023-12-10,TV,4,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,3,2023
United States,US,2023-12-10,TV,5,Young Sheldon,Young Sheldon: Season 1,3,2023
United States,US,2023-12-10,TV,6,World War II: From the Frontlines,World War II: From the Frontlines: Season 1,1,2023
United States,US,2023-12-10,TV,7,Stavros Halkias: Fat Rascal,,1,2023
United States,US,2023-12-10,TV,8,Young Sheldon,Young Sheldon: Season 2,2,2023
United States,US,2023-12-10,TV,9,School Spirits,School Spirits: Season 1,1,2023
United States,US,2023-12-10,TV,10,CoComelon Lane,CoComelon Lane: Season 1,4,2023
United States,US,2023-12-03,Films,1,Family Switch,,1,2023
United States,US,2023-12-03,Films,2,Leo,,2,2023
United States,US,2023-12-03,Films,3,The Silencing,,1,2023
United States,US,2023-12-03,Films,4,The Super Mario Bros. Movie,,1,2023
United States,US,2023-12-03,Films,5,Best. Christmas. Ever!,,3,2023
United States,US,2023-12-03,Films,6,The Secret: Dare to Dream,,1,2023
United States,US,2023-12-03,Films,7,Hunter Killer,,1,2023
United States,US,2023-12-03,Films,8,The Meg,,1,2023
United States,US,2023-12-03,Films,9,May December,,1,2023
United States,US,2023-12-03,Films,10,Lucy,,1,2023
United States,US,2023-12-03,TV,1,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,2,2023
United States,US,2023-12-03,TV,2,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,1,2023
United States,US,2023-12-03,TV,3,Young Sheldon,Young Sheldon: Season 1,2,2023
United States,US,2023-12-03,TV,4,A Nearly Normal Family,A Nearly Normal Family: Limited Series,2,2023
United States,US,2023-12-03,TV,5,Obliterated,Obliterated: Season 1,1,2023
United States,US,2023-12-03,TV,6,First Wives Club,First Wives Club: Season 1,3,2023
United States,US,2023-12-03,TV,7,Young Sheldon,Young Sheldon: Season 2,1,2023
United States,US,2023-12-03,TV,8,CoComelon Lane,CoComelon Lane: Season 1,3,2023
United States,US,2023-12-03,TV,9,Virgin River,Virgin River: Season 5,6,2023
United States,US,2023-12-03,TV,10,The Crown,The Crown: Season 6,3,2023
United States,US,2023-11-26,Films,1,Leo,,1,2023
United States,US,2023-11-26,Films,2,Best. Christmas. Ever!,,2,2023
United States,US,2023-11-26,Films,3,Lone Survivor,,2,2023
United States,US,2023-11-26,Films,4,The Killer,,3,2023
United States,US,2023-11-26,Films,5,Minions,,5,2023
United States,US,2023-11-26,Films,6,Spider-Man: Across the Spider-Verse,,4,2023
United States,US,2023-11-26,Films,7,A Walk in the Woods,,1,2023
United States,US,2023-11-26,Films,8,Real Steel,,1,2023
United States,US,2023-11-26,Films,9,See You on Venus,,1,2023
United States,US,2023-11-26,Films,10,Trolls,,8,2023
United States,US,2023-11-26,TV,1,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,1,2023
United States,US,2023-11-26,TV,2,The Crown,The Crown: Season 6,2,2023
United States,US,2023-11-26,TV,3,Matt Rife: Natural Selection,,2,2023
United States,US,2023-11-26,TV,4,First Wives Club,First Wives Club: Season 1,2,2023
United States,US,2023-11-26,TV,5,Young Sheldon,Young Sheldon: Season 1,1,2023
United States,US,2023-11-26,TV,6,A Nearly Normal Family,A Nearly Normal Family: Limited Series,1,2023
United States,US,2023-11-26,TV,7,CoComelon Lane,CoComelon Lane: Season 1,2,2023
United States,US,2023-11-26,TV,8,Mike Birbiglia: The Old Man and The Pool,,1,2023
United States,US,2023-11-26,TV,9,First Wives Club,First Wives Club: Season 2,1,2023
United States,US,2023-11-26,TV,10,All the Light We Cannot See,All the Light We Cannot See: Limited Series,4,2023
United States,US,2023-11-19,Films,1,Best. Christmas. Ever!,,1,2023
United States,US,2023-11-19,Films,2,The Killer,,2,2023
United States,US,2023-11-19,Films,3,Lone Survivor,,1,2023
United States,US,2023-11-19,Films,4,Minions,,4,2023
United States,US,2023-11-19,Films,5,Spider-Man: Across the Spider-Verse,,3,2023
United States,US,2023-11-19,Films,6,No Hard Feelings,,5,2023
United States,US,2023-11-19,Films,7,Harriet,,1,2023
United States,US,2023-11-19,Films,8,Downsizing,,2,2023
United States,US,2023-11-19,Films,9,The Impossible,,2,2023
United States,US,2023-11-19,Films,10,Buried: The 1982 Alpine Meadows Avalanche,,1,2023
United States,US,2023-11-19,TV,1,Matt Rife: Natural Selection,,1,2023
United States,US,2023-11-19,TV,2,The Crown,The Crown: Season 6,1,2023
United States,US,2023-11-19,TV,3,Escaping Twin Flames,Escaping Twin Flames: Season 1,2,2023
United States,US,2023-11-19,TV,4,How to Become a Mob Boss,How to Become a Mob Boss: Season 1,1,2023
United States,US,2023-11-19,TV,5,All the Light We Cannot See,All the Light We Cannot See: Limited Series,3,2023
United States,US,2023-11-19,TV,6,Selling Sunset,Selling Sunset: Season 7,3,2023
United States,US,2023-11-19,TV,7,Criminal Code,Criminal Code: Season 1,1,2023
United States,US,2023-11-19,TV,8,First Wives Club,First Wives Club: Season 1,1,2023
United States,US,2023-11-19,TV,9,CoComelon Lane,CoComelon Lane: Season 1,1,2023
United States,US,2023-11-19,TV,10,Scott Pilgrim Takes Off,Scott Pilgrim Takes Off: Season 1,1,2023
United States,US,2023-11-12,Films,1,The Killer,,1,2023
United States,US,2023-11-12,Films,2,Spider-Man: Across the Spider-Verse,,2,2023
United States,US,2023-11-12,Films,3,Minions,,3,2023
United States,US,2023-11-12,Films,4,Locked In,,1,2023
United States,US,2023-11-12,Films,5,No Hard Feelings,,4,2023
United States,US,2023-11-12,Films,6,13 Going on 30,,1,2023
United States,US,2023-11-12,Films,7,Insidious: The Red Door,,1,2023
United States,US,2023-11-12,Films,8,The Impossible,,1,2023
United States,US,2023-11-12,Films,9,Sly,,1,2023
United States,US,2023-11-12,Films,10,Legion,,1,2023
United States,US,2023-11-12,TV,1,All the Light We Cannot See,All the Light We Cannot See: Limited Series,2,2023
United States,US,2023-11-12,TV,2,Escaping Twin Flames,Escaping Twin Flames: Season 1,1,2023
United States,US,2023-11-12,TV,3,Selling Sunset,Selling Sunset: Season 7,2,2023
United States,US,2023-11-12,TV,4,Till Murder Do Us Part: Soering vs. Haysom,Till Murder Do Us Part: Soering vs. Haysom: Limited Series,2,2023
United States,US,2023-11-12,TV,5,Ralph Barbosa: Cowabunga,,2,2023
United States,US,2023-11-12,TV,6,"The Billionaire, The Butler, and the Boyfriend","The Billionaire, The Butler, and the Boyfriend: Limited Series",1,2023
United States,US,2023-11-12,TV,7,Life on Our Planet,Life on Our Planet: Season 1,3,2023
United States,US,2023-11-12,TV,8,BLUE EYE SAMURAI,BLUE EYE SAMURAI: Season 1,1,2023
United States,US,2023-11-12,TV,9,Unicorn Academy,Unicorn Academy: Chapter 1,2,2023
United States,US,2023-11-12,TV,10,The Improv: 60 and Still Standing,,1,2023
United States,US,2023-11-05,Films,1,Spider-Man: Across the Spider-Verse,,1,2023
United States,US,2023-11-05,Films,2,Minions,,2,2023
United States,US,2023-11-05,Films,3,No Hard Feelings,,3,2023
United States,US,2023-11-05,Films,4,The Mummy,,1,2023
United States,US,2023-11-05,Films,5,Pain Hustlers,,2,2023
United States,US,2023-11-05,Films,6,Cold Pursuit,,1,2023
United States,US,2023-11-05,Films,7,The Change-Up,,1,2023
United States,US,2023-11-05,Films,8,Ted 2,,1,2023
United States,US,2023-11-05,Films,9,Downsizing,,1,2023
United States,US,2023-11-05,Films,10,Godzilla vs. Kong,,1,2023
United States,US,2023-11-05,TV,1,All the Light We Cannot See,All the Light We Cannot See: Limited Series,1,2023
United States,US,2023-11-05,TV,2,Till Murder Do Us Part: Soering vs. Haysom,Till Murder Do Us Part: Soering vs. Haysom: Limited Series,1,2023
United States,US,2023-11-05,TV,3,Ralph Barbosa: Cowabunga,,1,2023
United States,US,2023-11-05,TV,4,Get Gotti,Get Gotti: Season 1,2,2023
United States,US,2023-11-05,TV,5,Botched,Botched: Season 1,1,2023
United States,US,2023-11-05,TV,6,Selling Sunset,Selling Sunset: Season 7,1,2023
United States,US,2023-11-05,TV,7,Life on Our Planet,Life on Our Planet: Season 1,2,2023
United States,US,2023-11-05,TV,8,The Fall of the House of Usher,The Fall of the House of Usher: Limited Series,4,2023
United States,US,2023-11-05,TV,9,Unicorn Academy,Unicorn Academy: Chapter 1,1,2023
United States,US,2023-11-05,TV,10,Mysteries of the Faith,Mysteries of the Faith: Season 1,1,2023
United States,US,2023-10-29,Films,1,No Hard Feelings,,2,2023
United States,US,2023-10-29,Films,2,Old Dads,,2,2023
United States,US,2023-10-29,Films,3,Pain Hustlers,,1,2023
United States,US,2023-10-29,Films,4,Minions,,1,2023
United States,US,2023-10-29,Films,5,Knights of the Zodiac,,1,2023
United States,US,2023-10-29,Films,6,Burning Betrayal,,1,2023
United States,US,2023-10-29,Films,7,Hotel Transylvania 2,,3,2023
United States,US,2023-10-29,Films,8,Long Shot,,2,2023
United States,US,2023-10-29,Films,9,Reptile,,5,2023
United States,US,2023-10-29,Films,10,Casper,,4,2023
United States,US,2023-10-29,TV,1,Get Gotti,Get Gotti: Season 1,1,2023
United States,US,2023-10-29,TV,2,Life on Our Planet,Life on Our Planet: Season 1,1,2023
United States,US,2023-10-29,TV,3,The Fall of the House of Usher,The Fall of the House of Usher: Limited Series,3,2023
United States,US,2023-10-29,TV,4,Bodies,Bodies: Limited Series,2,2023
United States,US,2023-10-29,TV,5,Big Mouth,Big Mouth: Season 7,2,2023
United States,US,2023-10-29,TV,6,Pete Holmes: I Am Not for Everyone,,1,2023
United States,US,2023-10-29,TV,7,The Great British Baking Show,The Great British Baking Show: Collection 11,5,2023
United States,US,2023-10-29,TV,8,Beckham,Beckham: Limited Series,4,2023
United States,US,2023-10-29,TV,9,Bebefinn,Bebefinn: Season 2,1,2023
United States,US,2023-10-29,TV,10,I Woke Up A Vampire,I Woke Up A Vampire: Season 1,2,2023
United States,US,2023-10-22,Films,1,Old Dads,,1,2023
United States,US,2023-10-22,Films,2,Long Shot,,1,2023
United States,US,2023-10-22,Films,3,No Hard Feelings,,1,2023
United States,US,2023-10-22,Films,4,Tammy,,2,2023
United States,US,2023-10-22,Films,5,The Devil on Trial,,1,2023
United States,US,2023-10-22,Films,6,The Misfits,,1,2023
United States,US,2023-10-22,Films,7,Reptile,,4,2023
United States,US,2023-10-22,Films,8,Casper,,3,2023
United States,US,2023-10-22,Films,9,Look Away,,1,2023
United States,US,2023-10-22,Films,10,Spy Kids,,1,2023
United States,US,2023-10-22,TV,1,The Fall of the House of Usher,The Fall of the House of Usher: Limited Series,2,2023
United States,US,2023-10-22,TV,2,Beckham,Beckham: Limited Series,3,2023
United States,US,2023-10-22,TV,3,Bodies,Bodies: Limited Series,1,2023
United States,US,2023-10-22,TV,4,I Woke Up A Vampire,I Woke Up A Vampire: Season 1,1,2023
United States,US,2023-10-22,TV,5,The Great British Baking Show,The Great British Baking Show: Collection 11,4,2023
United States,US,2023-10-22,TV,6,Love Is Blind,Love Is Blind: Season 5,5,2023
United States,US,2023-10-22,TV,7,Pact of Silence,Pact of Silence: Season 1,2,2023
United States,US,2023-10-22,TV,8,Big Mouth,Big Mouth: Season 7,1,2023
United States,US,2023-10-22,TV,9,Heather McMahan: Son I Never Had,,1,2023
United States,US,2023-10-22,TV,10,Lupin,Lupin: Part 3,3,2023
United States,US,2023-10-15,Films,1,American Made,,2,2023
United States,US,2023-10-15,Films,2,Reptile,,3,2023
United States,US,2023-10-15,Films,3,Ma,,1,2023
United States,US,2023-10-15,Films,4,Casper,,2,2023
United States,US,2023-10-15,Films,5,Fair Play,,2,2023
United States,US,2023-10-15,Films,6,Get Out,,1,2023
United States,US,2023-10-15,Films,7,Us,,1,2023
United States,US,2023-10-15,Films,8,Deliver Us from Evil,,1,2023
United States,US,2023-10-15,Films,9,Tammy,,1,2023
United States,US,2023-10-15,Films,10,Nowhere,,3,2023
United States,US,2023-10-15,TV,1,The Fall of the House of Usher,The Fall of the House of Usher: Limited Series,1,2023
United States,US,2023-10-15,TV,2,Beckham,Beckham: Limited Series,2,2023
United States,US,2023-10-15,TV,3,Love Is Blind,Love Is Blind: Season 5,4,2023
United States,US,2023-10-15,TV,4,Big Vape: The Rise and Fall of Juul,Big Vape: The Rise and Fall of Juul: Limited Series,1,2023
United States,US,2023-10-15,TV,5,Lupin,Lupin: Part 3,2,2023
United States,US,2023-10-15,TV,6,The Great British Baking Show,The Great British Baking Show: Collection 11,3,2023
United States,US,2023-10-15,TV,7,Murdaugh Murders: A Southern Scandal,Murdaugh Murders: A Southern Scandal: Season 2,4,2023
United States,US,2023-10-15,TV,8,Pact of Silence,Pact of Silence: Season 1,1,2023
United States,US,2023-10-15,TV,9,Lupin,Lupin: Part 1,1,2023
United States,US,2023-10-15,TV,10,CoComelon,CoComelon: Season 8,4,2023
United States,US,2023-10-08,Films,1,Reptile,,2,2023
United States,US,2023-10-08,Films,2,Nowhere,,2,2023
United States,US,2023-10-08,Films,3,Last Vegas,,1,2023
United States,US,2023-10-08,Films,4,Identity Thief,,1,2023
United States,US,2023-10-08,Films,5,Fair Play,,1,2023
United States,US,2023-10-08,Films,6,Casper,,1,2023
United States,US,2023-10-08,Films,7,Dune,,1,2023
United States,US,2023-10-08,Films,8,Colombiana,,1,2023
United States,US,2023-10-08,Films,9,American Made,,1,2023
United States,US,2023-10-08,Films,10,Megamind,,3,2023
United States,US,2023-10-08,TV,1,Beckham,Beckham: Limited Series,1,2023
United States,US,2023-10-08,TV,2,Love Is Blind,Love Is Blind: Season 5,3,2023
United States,US,2023-10-08,TV,3,The Great British Baking Show,The Great British Baking Show: Collection 11,2,2023
United States,US,2023-10-08,TV,4,Murdaugh Murders: A Southern Scandal,Murdaugh Murders: A Southern Scandal: Season 2,3,2023
United States,US,2023-10-08,TV,5,Lupin,Lupin: Part 3,1,2023
United States,US,2023-10-08,TV,6,Encounters,Encounters: Season 1,2,2023
United States,US,2023-10-08,TV,7,Sex Education,Sex Education: Season 4,3,2023
United States,US,2023-10-08,TV,8,Virgin River,Virgin River: Season 5,5,2023
United States,US,2023-10-08,TV,9,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc,1,2023
United States,US,2023-10-08,TV,10,CoComelon,CoComelon: Season 8,3,2023
United States,US,2023-10-01,Films,1,Reptile,,1,2023
United States,US,2023-10-01,Films,2,Nowhere,,1,2023
United States,US,2023-10-01,Films,3,The Machine,,2,2023
United States,US,2023-10-01,Films,4,Love is in the Air,,1,2023
United States,US,2023-10-01,Films,5,Spy Kids: Armageddon,,2,2023
United States,US,2023-10-01,Films,6,Force of Nature,,1,2023
United States,US,2023-10-01,Films,7,Love at First Sight,,3,2023
United States,US,2023-10-01,Films,8,The Foreigner,,1,2023
United States,US,2023-10-01,Films,9,Forgotten Love,,1,2023
United States,US,2023-10-01,Films,10,The Black Book,,1,2023
United States,US,2023-10-01,TV,1,Love Is Blind,Love Is Blind: Season 5,2,2023
United States,US,2023-10-01,TV,2,Murdaugh Murders: A Southern Scandal,Murdaugh Murders: A Southern Scandal: Season 2,2,2023
United States,US,2023-10-01,TV,3,Encounters,Encounters: Season 1,1,2023
United States,US,2023-10-01,TV,4,Who Killed Jill Dando?,Who Killed Jill Dando?: Limited Series,1,2023
United States,US,2023-10-01,TV,5,The Great British Baking Show,The Great British Baking Show: Collection 11,1,2023
United States,US,2023-10-01,TV,6,Sex Education,Sex Education: Season 4,2,2023
United States,US,2023-10-01,TV,7,Virgin River,Virgin River: Season 5,4,2023
United States,US,2023-10-01,TV,8,Castlevania: Nocturne,Castlevania: Nocturne: Season 1,1,2023
United States,US,2023-10-01,TV,9,Murdaugh Murders: A Southern Scandal,Murdaugh Murders: A Southern Scandal: Season 1,5,2023
United States,US,2023-10-01,TV,10,Dear Child,Dear Child: Limited Series,4,2023
United States,US,2023-09-24,Films,1,Love at First Sight,,2,2023
United States,US,2023-09-24,Films,2,The Wolf of Wall Street,,2,2023
United States,US,2023-09-24,Films,3,Spy Kids: Armageddon,,1,2023
United States,US,2023-09-24,Films,4,The Machine,,1,2023
United States,US,2023-09-24,Films,5,My Big Fat Greek Wedding 2,,2,2023
United States,US,2023-09-24,Films,6,Woody Woodpecker,,3,2023
United States,US,2023-09-24,Films,7,Matilda,,6,2023
United States,US,2023-09-24,Films,8,Jaane Jaan,,1,2023
United States,US,2023-09-24,Films,9,Despicable Me 2,,18,2023
United States,US,2023-09-24,Films,10,Cry Macho,,1,2023
United States,US,2023-09-24,TV,1,Murdaugh Murders: A Southern Scandal,Murdaugh Murders: A Southern Scandal: Season 2,1,2023
United States,US,2023-09-24,TV,2,Kountry Wayne: A Woman's Prayer,,1,2023
United States,US,2023-09-24,TV,3,Virgin River,Virgin River: Season 5,3,2023
United States,US,2023-09-24,TV,4,Dear Child,Dear Child: Limited Series,3,2023
United States,US,2023-09-24,TV,5,Love Is Blind,Love Is Blind: Season 5,1,2023
United States,US,2023-09-24,TV,6,Murdaugh Murders: A Southern Scandal,Murdaugh Murders: A Southern Scandal: Season 1,4,2023
United States,US,2023-09-24,TV,7,Sex Education,Sex Education: Season 4,1,2023
United States,US,2023-09-24,TV,8,ONE PIECE,ONE PIECE: Season 1,4,2023
United States,US,2023-09-24,TV,9,Inside the World’s Toughest Prisons,Inside the World’s Toughest Prisons: Season 7,1,2023
United States,US,2023-09-24,TV,10,The Pacific,,1,2023
United States,US,2023-09-17,Films,1,Love at First Sight,,1,2023
United States,US,2023-09-17,Films,2,Woody Woodpecker,,2,2023
United States,US,2023-09-17,Films,3,The Wolf of Wall Street,,1,2023
United States,US,2023-09-17,Films,4,Killers,,1,2023
United States,US,2023-09-17,Films,5,My Big Fat Greek Wedding 2,,1,2023
United States,US,2023-09-17,Films,6,You Are So Not Invited to My Bat Mitzvah,,4,2023
United States,US,2023-09-17,Films,7,Matilda,,5,2023
United States,US,2023-09-17,Films,8,Don't Worry Darling,,2,2023
United States,US,2023-09-17,Films,9,Dredd,,2,2023
United States,US,2023-09-17,Films,10,Despicable Me 2,,17,2023
United States,US,2023-09-17,TV,1,Virgin River,Virgin River: Season 5,2,2023
United States,US,2023-09-17,TV,2,Dear Child,Dear Child: Limited Series,2,2023
United States,US,2023-09-17,TV,3,ONE PIECE,ONE PIECE: Season 1,3,2023
United States,US,2023-09-17,TV,4,Selling The OC,Selling The OC: Season 2,2,2023
United States,US,2023-09-17,TV,5,Shane Gillis: Beautiful Dogs,,2,2023
United States,US,2023-09-17,TV,6,Spy Ops,Spy Ops: Season 1,2,2023
United States,US,2023-09-17,TV,7,Michelle Wolf: It's Great to Be Here,,1,2023
United States,US,2023-09-17,TV,8,Who is Erin Carter?,Who is Erin Carter?: Limited Series,4,2023
United States,US,2023-09-17,TV,9,Glow Up,Glow Up: Season 5,1,2023
United States,US,2023-09-17,TV,10,Thursday's Widows,Thursday's Widows: Limited Series,1,2023
United States,US,2023-09-10,Films,1,Love Again,,2,2023
United States,US,2023-09-10,Films,2,Snitch,,2,2023
United States,US,2023-09-10,Films,3,You Are So Not Invited to My Bat Mitzvah,,3,2023
United States,US,2023-09-10,Films,4,Woody Woodpecker,,1,2023
United States,US,2023-09-10,Films,5,Don't Worry Darling,,1,2023
United States,US,2023-09-10,Films,6,Arrival,,2,2023
United States,US,2023-09-10,Films,7,Couples Retreat,,2,2023
United States,US,2023-09-10,Films,8,Dredd,,1,2023
United States,US,2023-09-10,Films,9,Choose Love,,1,2023
United States,US,2023-09-10,Films,10,Hacksaw Ridge,,2,2023
United States,US,2023-09-10,TV,1,Virgin River,Virgin River: Season 5,1,2023
United States,US,2023-09-10,TV,2,ONE PIECE,ONE PIECE: Season 1,2,2023
United States,US,2023-09-10,TV,3,Shane Gillis: Beautiful Dogs,,1,2023
United States,US,2023-09-10,TV,4,Dear Child,Dear Child: Limited Series,1,2023
United States,US,2023-09-10,TV,5,Who is Erin Carter?,Who is Erin Carter?: Limited Series,3,2023
United States,US,2023-09-10,TV,6,Live to 100: Secrets of the Blue Zones,Live to 100: Secrets of the Blue Zones: Limited Series,2,2023
United States,US,2023-09-10,TV,7,Predators,Predators: Season 1,1,2023
United States,US,2023-09-10,TV,8,Selling The OC,Selling The OC: Season 2,1,2023
United States,US,2023-09-10,TV,9,Painkiller,Painkiller: Limited Series,5,2023
United States,US,2023-09-10,TV,10,Spy Ops,Spy Ops: Season 1,1,2023
United States,US,2023-09-03,Films,1,You Are So Not Invited to My Bat Mitzvah,,2,2023
United States,US,2023-09-03,Films,2,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,,2,2023
United States,US,2023-09-03,Films,3,Love Again,,1,2023
United States,US,2023-09-03,Films,4,Snitch,,1,2023
United States,US,2023-09-03,Films,5,Couples Retreat,,1,2023
United States,US,2023-09-03,Films,6,Sausage Party,,1,2023
United States,US,2023-09-03,Films,7,Arrival,,1,2023
United States,US,2023-09-03,Films,8,The Big Short,,2,2023
United States,US,2023-09-03,Films,9,The Monkey King,,3,2023
United States,US,2023-09-03,Films,10,Hacksaw Ridge,,1,2023
United States,US,2023-09-03,TV,1,Who is Erin Carter?,Who is Erin Carter?: Limited Series,2,2023
United States,US,2023-09-03,TV,2,ONE PIECE,ONE PIECE: Season 1,1,2023
United States,US,2023-09-03,TV,3,Live to 100: Secrets of the Blue Zones,Live to 100: Secrets of the Blue Zones: Limited Series,1,2023
United States,US,2023-09-03,TV,4,The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 2,2,2023
United States,US,2023-09-03,TV,5,Untold: Swamp Kings,Untold: Swamp Kings: Season 1,2,2023
United States,US,2023-09-03,TV,6,Painkiller,Painkiller: Limited Series,4,2023
United States,US,2023-09-03,TV,7,Ragnarok,Ragnarok: Season 3,2,2023
United States,US,2023-09-03,TV,8,DEPP V HEARD,DEPP V HEARD: Limited Series,3,2023
United States,US,2023-09-03,TV,9,CoComelon,CoComelon: Season 8,2,2023
United States,US,2023-09-03,TV,10,Suits,Suits: Season 1,11,2023
United States,US,2023-08-27,Films,1,You Are So Not Invited to My Bat Mitzvah,,1,2023
United States,US,2023-08-27,Films,2,The Pope's Exorcist,,2,2023
